MANIFEST IDENTIFER NUMBER,SHIP NAME,CODE FOR SHIP PORT OF EMBARKATION,SHIP ARRIVAL DATE,NUMBER OF CORRESPONDING PASSENGERS
2235,EMMANUEL,4,05-05-1847,169
2236,ELIZA ANN,4,05-06-1847,257
2237,HUGUENOT,4,07-06-1847,205
2238,COLDSTREAM,4,07-06-1847,87
2239,NON PAREIL,70,07-06-1847,5
2240,EXPRESS,59,07-06-1847,43
2241,QUEEN,4,07-06-1847,143
2242,LORD FITZGERALD,35,05-11-1847,52
2243,PRINCE ALBERT,4,07-06-1847,112
2244,VICTORIA,35,07-06-1847,86
2245,MONTICELLO,6,05-13-1847,152
2246,PELTONA,4,05-14-1847,151
2247,LISBON,4,07-07-1847,112
2248,SCHROADIAC,4,07-09-1847,287
2249,SOLDAN,4,07-12-1847,162
2250,AMERICAN EAGLE,61,07-12-1847,99
2251,MONTEZUMA,4,05-14-1847,359
2252,LOUISIANA,4,04-09-1847,295
2253,GARRICK,4,05-15-1847,353
2254,ANN HARLEY,6,04-09-1847,114
2255,H PATTERSON,46,05-15-1847,52
2256,NICHOLAS BIDDLE,4,05-15-1847,308
2257,IOWA,16,05-15-1847,232
2258,TUSKAR,4,07-13-1847,262
2259,NIAGARA,4,07-13-1847,286
2260,DIANA,61,07-13-1847,40
2261,DEWDROP,106,07-13-1847,92
2262,MONTEREY,59,07-17-1847,35
2263,PATRICK HENRY,4,12-01-1847,289
2269,SARAH SANDS,4,07-19-1847,73
2270,LIVERPOOL,4,07-20-1847,350
2271,SWAN,46,07-20-1847,91
2272,GEM,50,07-20-1847,32
2273,SIDDONS,4,07-24-1847,356
2274,MARMION,4,12-01-1847,274
2275,QUEBEC,61,05-15-1847,74
2277,PRINCE RADALI,46,07-24-1847,83
2278,AMBASSADOR,4,12-01-1847,172
2279,ANTWERP,18,07-24-1847,117
2280,SARAH BROWN,106,07-26-1847,26
2281,SIR ROBERT PEEL,4,07-26-1847,89
2283,CONSTITUTION,4,05-15-1847,528
2284,ALBERS,4,12-02-1847,101
2285,GLADIATOR,61,12-02-1847,20
2287,ST. PATRICK,4,12-04-1847,309
2288,OHIO,4,07-27-1847,144
2289,PATRICK HENRY,4,07-27-1847,318
2290,WESTMINSTER,61,07-27-1847,101
2291,QUEEN,4,07-27-1847,328
2298,LIBERTY,4,07-28-1847,212
2299,NATHANIEL HOOPER,106,07-28-1847,78
2300,CHARLESTON,0,07-28-1847,143
2301,EAGLE,4,07-28-1847,97
2302,PHILIP HONE,3,07-28-1847,82
2303,ROYAL WILLIAM,18,07-28-1847,30
2304,BROOKSBY,6,07-29-1847,140
2305,ATLANTIC,4,10-22-1847,272
2306,EDGAR,4,12-07-1847,172
2307,HARP,170,12-08-1847,1
2308,LANCASHIRE,4,12-13-1847,28
2309,BACHE MCEVERS,46,12-13-1847,83
2310,VENICE,18,07-29-1847,195
2311,ADMIRAL,4,12-13-1847,254
2312,SWAN,46,12-13-1847,85
2313,NEW YORK,4,12-16-1847,295
2314,DIANA,4,05-17-1847,197
2315,WM T DUGGAN,46,07-30-1847,57
2316,PRINCESS ALICE,59,07-30-1847,217
2317,LIVERPOOL,4,07-31-1847,197
2318,SOUTHERNER,4,07-31-1847,171
2319,CHAS CHALONER,4,07-31-1847,193
2320,GEORGE WASHINGTON,94,07-31-1847,46
2321,PONTIAC,18,05-17-1847,216
2322,ASHBURTON,4,10-22-1847,175
2323,BURNHOLM,4,05-17-1847,158
2324,CAMBRIDGE,4,05-17-1847,316
2325,ELLEN BROOKS,16,10-25-1847,1
2326,ARCHIMEDES,18,05-17-1847,115
2327,COLUMBIA,4,08-02-1847,394
2328,NEW YORK,4,08-03-1847,272
2329,REPUBLIC,61,08-04-1847,219
2330,JANE,4,08-05-1847,239
